Designator,Footprint,Quantity,Value,LCSC Part #
AE1,SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount,1,Antenna_Shield,
"C1, C2, C7",0402,3,10u,
C10,0402,1,4u7,
"C11, C3, C4, C5, C6",0402,5,1u,
"C12, C13, C8",0402,3,100n,
D1,0402,1,RED_LED,
D2,0402,1,GREEN_LED,
D3,0402,1,BLUE_LED,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J2,SolderWirePad_1x01_SMD_1x2mm,1,BAT+,
J5,SolderWirePad_1x01_SMD_1x2mm,1,BAT-,
J6,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
"R1, R8",0402,2,10k,
"R2, R5, R6",0402,3,1k,
"R3, R4",0402,2,5k1,
U1,QFN-28_4x4mm_P0.5mm,1,STM32F042G6Ux,
U2,Ai-Thinker-Ra-01-LoRa,1,Ai-Thinker-Ra-01,
U4,DFN-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,1,WS4518,
"U5, U6",SOT-23-5,2,LP5907MFX-3.3,
U7,Quectel_L80-R,1,L80-R,
